,PassengerId,Survived,Pclass,SibSp,Parch,Fare,Gender,AgeFill,AgeIsNull,FamilySize,Age*Class
0,1,0,3,1,0,7.25,1,22.0,0,1,66.0
1,2,1,1,1,0,71.2833,0,38.0,0,1,38.0
2,3,1,3,0,0,7.925,0,26.0,0,0,78.0
3,4,1,1,1,0,53.1,0,35.0,0,1,35.0
4,5,0,3,0,0,8.05,1,35.0,0,0,105.0
5,6,0,3,0,0,8.4583,1,25.0,1,0,75.0
6,7,0,1,0,0,51.8625,1,54.0,0,0,54.0
7,8,0,3,3,1,21.075,1,2.0,0,4,6.0
8,9,1,3,0,2,11.1333,0,27.0,0,2,81.0
9,10,1,2,1,0,30.0708,0,14.0,0,1,28.0
10,11,1,3,1,1,16.7,0,4.0,0,2,12.0
11,12,1,1,0,0,26.55,0,58.0,0,0,58.0
12,13,0,3,0,0,8.05,1,20.0,0,0,60.0
13,14,0,3,1,5,31.275,1,39.0,0,6,117.0
14,15,0,3,0,0,7.8542,0,14.0,0,0,42.0
15,16,1,2,0,0,16.0,0,55.0,0,0,110.0
16,17,0,3,4,1,29.125,1,2.0,0,5,6.0
17,18,1,2,0,0,13.0,1,30.0,1,0,60.0
18,19,0,3,1,0,18.0,0,31.0,0,1,93.0
19,20,1,3,0,0,7.225,0,21.5,1,0,64.5
20,21,0,2,0,0,26.0,1,35.0,0,0,70.0
21,22,1,2,0,0,13.0,1,34.0,0,0,68.0
22,23,1,3,0,0,8.0292,0,15.0,0,0,45.0
23,24,1,1,0,0,35.5,1,28.0,0,0,28.0
24,25,0,3,3,1,21.075,0,8.0,0,4,24.0
25,26,1,3,1,5,31.3875,0,38.0,0,6,114.0
26,27,0,3,0,0,7.225,1,25.0,1,0,75.0
27,28,0,1,3,2,263.0,1,19.0,0,5,19.0
28,29,1,3,0,0,7.8792,0,21.5,1,0,64.5
29,30,0,3,0,0,7.8958,1,25.0,1,0,75.0
30,31,0,1,0,0,27.7208,1,40.0,0,0,40.0
31,32,1,1,1,0,146.5208,0,35.0,1,1,35.0
32,33,1,3,0,0,7.75,0,21.5,1,0,64.5
33,34,0,2,0,0,10.5,1,66.0,0,0,132.0
34,35,0,1,1,0,82.1708,1,28.0,0,1,28.0
35,36,0,1,1,0,52.0,1,42.0,0,1,42.0
36,37,1,3,0,0,7.2292,1,25.0,1,0,75.0
37,38,0,3,0,0,8.05,1,21.0,0,0,63.0
38,39,0,3,2,0,18.0,0,18.0,0,2,54.0
39,40,1,3,1,0,11.2417,0,14.0,0,1,42.0
40,41,0,3,1,0,9.475,0,40.0,0,1,120.0
41,42,0,2,1,0,21.0,0,27.0,0,1,54.0
42,43,0,3,0,0,7.8958,1,25.0,1,0,75.0
43,44,1,2,1,2,41.5792,0,3.0,0,3,6.0
44,45,1,3,0,0,7.8792,0,19.0,0,0,57.0
45,46,0,3,0,0,8.05,1,25.0,1,0,75.0
46,47,0,3,1,0,15.5,1,25.0,1,1,75.0
47,48,1,3,0,0,7.75,0,21.5,1,0,64.5
48,49,0,3,2,0,21.6792,1,25.0,1,2,75.0
49,50,0,3,1,0,17.8,0,18.0,0,1,54.0
50,51,0,3,4,1,39.6875,1,7.0,0,5,21.0
51,52,0,3,0,0,7.8,1,21.0,0,0,63.0
52,53,1,1,1,0,76.7292,0,49.0,0,1,49.0
53,54,1,2,1,0,26.0,0,29.0,0,1,58.0
54,55,0,1,0,1,61.9792,1,65.0,0,1,65.0
55,56,1,1,0,0,35.5,1,40.0,1,0,40.0
56,57,1,2,0,0,10.5,0,21.0,0,0,42.0
57,58,0,3,0,0,7.2292,1,28.5,0,0,85.5
58,59,1,2,1,2,27.75,0,5.0,0,3,10.0
59,60,0,3,5,2,46.9,1,11.0,0,7,33.0
60,61,0,3,0,0,7.2292,1,22.0,0,0,66.0
61,62,1,1,0,0,80.0,0,38.0,0,0,38.0
62,63,0,1,1,0,83.475,1,45.0,0,1,45.0
63,64,0,3,3,2,27.9,1,4.0,0,5,12.0
64,65,0,1,0,0,27.7208,1,40.0,1,0,40.0
65,66,1,3,1,1,15.2458,1,25.0,1,2,75.0
66,67,1,2,0,0,10.5,0,29.0,0,0,58.0
67,68,0,3,0,0,8.1583,1,19.0,0,0,57.0
68,69,1,3,4,2,7.925,0,17.0,0,6,51.0
69,70,0,3,2,0,8.6625,1,26.0,0,2,78.0
70,71,0,2,0,0,10.5,1,32.0,0,0,64.0
71,72,0,3,5,2,46.9,0,16.0,0,7,48.0
72,73,0,2,0,0,73.5,1,21.0,0,0,42.0
73,74,0,3,1,0,14.4542,1,26.0,0,1,78.0
74,75,1,3,0,0,56.4958,1,32.0,0,0,96.0
75,76,0,3,0,0,7.65,1,25.0,0,0,75.0
76,77,0,3,0,0,7.8958,1,25.0,1,0,75.0
77,78,0,3,0,0,8.05,1,25.0,1,0,75.0
78,79,1,2,0,2,29.0,1,0.83,0,2,1.66
79,80,1,3,0,0,12.475,0,30.0,0,0,90.0
80,81,0,3,0,0,9.0,1,22.0,0,0,66.0
81,82,1,3,0,0,9.5,1,29.0,0,0,87.0
82,83,1,3,0,0,7.7875,0,21.5,1,0,64.5
83,84,0,1,0,0,47.1,1,28.0,0,0,28.0
84,85,1,2,0,0,10.5,0,17.0,0,0,34.0
85,86,1,3,3,0,15.85,0,33.0,0,3,99.0
86,87,0,3,1,3,34.375,1,16.0,0,4,48.0
87,88,0,3,0,0,8.05,1,25.0,1,0,75.0
88,89,1,1,3,2,263.0,0,23.0,0,5,23.0
89,90,0,3,0,0,8.05,1,24.0,0,0,72.0
90,91,0,3,0,0,8.05,1,29.0,0,0,87.0
91,92,0,3,0,0,7.8542,1,20.0,0,0,60.0
92,93,0,1,1,0,61.175,1,46.0,0,1,46.0
93,94,0,3,1,2,20.575,1,26.0,0,3,78.0
94,95,0,3,0,0,7.25,1,59.0,0,0,177.0
95,96,0,3,0,0,8.05,1,25.0,1,0,75.0
96,97,0,1,0,0,34.6542,1,71.0,0,0,71.0
97,98,1,1,0,1,63.3583,1,23.0,0,1,23.0
98,99,1,2,0,1,23.0,0,34.0,0,1,68.0
99,100,0,2,1,0,26.0,1,34.0,0,1,68.0
100,101,0,3,0,0,7.8958,0,28.0,0,0,84.0
101,102,0,3,0,0,7.8958,1,25.0,1,0,75.0
102,103,0,1,0,1,77.2875,1,21.0,0,1,21.0
103,104,0,3,0,0,8.6542,1,33.0,0,0,99.0
104,105,0,3,2,0,7.925,1,37.0,0,2,111.0
105,106,0,3,0,0,7.8958,1,28.0,0,0,84.0
106,107,1,3,0,0,7.65,0,21.0,0,0,63.0
107,108,1,3,0,0,7.775,1,25.0,1,0,75.0
108,109,0,3,0,0,7.8958,1,38.0,0,0,114.0
109,110,1,3,1,0,24.15,0,21.5,1,1,64.5
110,111,0,1,0,0,52.0,1,47.0,0,0,47.0
111,112,0,3,1,0,14.4542,0,14.5,0,1,43.5
112,113,0,3,0,0,8.05,1,22.0,0,0,66.0
113,114,0,3,1,0,9.825,0,20.0,0,1,60.0
114,115,0,3,0,0,14.4583,0,17.0,0,0,51.0
115,116,0,3,0,0,7.925,1,21.0,0,0,63.0
116,117,0,3,0,0,7.75,1,70.5,0,0,211.5
117,118,0,2,1,0,21.0,1,29.0,0,1,58.0
118,119,0,1,0,1,247.5208,1,24.0,0,1,24.0
119,120,0,3,4,2,31.275,0,2.0,0,6,6.0
120,121,0,2,2,0,73.5,1,21.0,0,2,42.0
121,122,0,3,0,0,8.05,1,25.0,1,0,75.0
122,123,0,2,1,0,30.0708,1,32.5,0,1,65.0
123,124,1,2,0,0,13.0,0,32.5,0,0,65.0
124,125,0,1,0,1,77.2875,1,54.0,0,1,54.0
125,126,1,3,1,0,11.2417,1,12.0,0,1,36.0
126,127,0,3,0,0,7.75,1,25.0,1,0,75.0
127,128,1,3,0,0,7.1417,1,24.0,0,0,72.0
128,129,1,3,1,1,22.3583,0,21.5,1,2,64.5
129,130,0,3,0,0,6.975,1,45.0,0,0,135.0
130,131,0,3,0,0,7.8958,1,33.0,0,0,99.0
131,132,0,3,0,0,7.05,1,20.0,0,0,60.0
132,133,0,3,1,0,14.5,0,47.0,0,1,141.0
133,134,1,2,1,0,26.0,0,29.0,0,1,58.0
134,135,0,2,0,0,13.0,1,25.0,0,0,50.0
135,136,0,2,0,0,15.0458,1,23.0,0,0,46.0
136,137,1,1,0,2,26.2833,0,19.0,0,2,19.0
137,138,0,1,1,0,53.1,1,37.0,0,1,37.0
138,139,0,3,0,0,9.2167,1,16.0,0,0,48.0
139,140,0,1,0,0,79.2,1,24.0,0,0,24.0
140,141,0,3,0,2,15.2458,0,21.5,1,2,64.5
141,142,1,3,0,0,7.75,0,22.0,0,0,66.0
142,143,1,3,1,0,15.85,0,24.0,0,1,72.0
143,144,0,3,0,0,6.75,1,19.0,0,0,57.0
144,145,0,2,0,0,11.5,1,18.0,0,0,36.0
145,146,0,2,1,1,36.75,1,19.0,0,2,38.0
146,147,1,3,0,0,7.7958,1,27.0,0,0,81.0
147,148,0,3,2,2,34.375,0,9.0,0,4,27.0
148,149,0,2,0,2,26.0,1,36.5,0,2,73.0
149,150,0,2,0,0,13.0,1,42.0,0,0,84.0
150,151,0,2,0,0,12.525,1,51.0,0,0,102.0
151,152,1,1,1,0,66.6,0,22.0,0,1,22.0
152,153,0,3,0,0,8.05,1,55.5,0,0,166.5
153,154,0,3,0,2,14.5,1,40.5,0,2,121.5
154,155,0,3,0,0,7.3125,1,25.0,1,0,75.0
155,156,0,1,0,1,61.3792,1,51.0,0,1,51.0
156,157,1,3,0,0,7.7333,0,16.0,0,0,48.0
157,158,0,3,0,0,8.05,1,30.0,0,0,90.0
158,159,0,3,0,0,8.6625,1,25.0,1,0,75.0
159,160,0,3,8,2,69.55,1,25.0,1,10,75.0
160,161,0,3,0,1,16.1,1,44.0,0,1,132.0
161,162,1,2,0,0,15.75,0,40.0,0,0,80.0
162,163,0,3,0,0,7.775,1,26.0,0,0,78.0
163,164,0,3,0,0,8.6625,1,17.0,0,0,51.0
164,165,0,3,4,1,39.6875,1,1.0,0,5,3.0
165,166,1,3,0,2,20.525,1,9.0,0,2,27.0
166,167,1,1,0,1,55.0,0,35.0,1,1,35.0
167,168,0,3,1,4,27.9,0,45.0,0,5,135.0
168,169,0,1,0,0,25.925,1,40.0,1,0,40.0
169,170,0,3,0,0,56.4958,1,28.0,0,0,84.0
170,171,0,1,0,0,33.5,1,61.0,0,0,61.0
171,172,0,3,4,1,29.125,1,4.0,0,5,12.0
172,173,1,3,1,1,11.1333,0,1.0,0,2,3.0
173,174,0,3,0,0,7.925,1,21.0,0,0,63.0
174,175,0,1,0,0,30.6958,1,56.0,0,0,56.0
175,176,0,3,1,1,7.8542,1,18.0,0,2,54.0
176,177,0,3,3,1,25.4667,1,25.0,1,4,75.0
177,178,0,1,0,0,28.7125,0,50.0,0,0,50.0
178,179,0,2,0,0,13.0,1,30.0,0,0,60.0
179,180,0,3,0,0,0.0,1,36.0,0,0,108.0
180,181,0,3,8,2,69.55,0,21.5,1,10,64.5
181,182,0,2,0,0,15.05,1,30.0,1,0,60.0
182,183,0,3,4,2,31.3875,1,9.0,0,6,27.0
183,184,1,2,2,1,39.0,1,1.0,0,3,2.0
184,185,1,3,0,2,22.025,0,4.0,0,2,12.0
185,186,0,1,0,0,50.0,1,40.0,1,0,40.0
186,187,1,3,1,0,15.5,0,21.5,1,1,64.5
187,188,1,1,0,0,26.55,1,45.0,0,0,45.0
188,189,0,3,1,1,15.5,1,40.0,0,2,120.0
189,190,0,3,0,0,7.8958,1,36.0,0,0,108.0
190,191,1,2,0,0,13.0,0,32.0,0,0,64.0
191,192,0,2,0,0,13.0,1,19.0,0,0,38.0
192,193,1,3,1,0,7.8542,0,19.0,0,1,57.0
193,194,1,2,1,1,26.0,1,3.0,0,2,6.0
194,195,1,1,0,0,27.7208,0,44.0,0,0,44.0
195,196,1,1,0,0,146.5208,0,58.0,0,0,58.0
196,197,0,3,0,0,7.75,1,25.0,1,0,75.0
197,198,0,3,0,1,8.4042,1,42.0,0,1,126.0
198,199,1,3,0,0,7.75,0,21.5,1,0,64.5
199,200,0,2,0,0,13.0,0,24.0,0,0,48.0
200,201,0,3,0,0,9.5,1,28.0,0,0,84.0
201,202,0,3,8,2,69.55,1,25.0,1,10,75.0
202,203,0,3,0,0,6.4958,1,34.0,0,0,102.0
203,204,0,3,0,0,7.225,1,45.5,0,0,136.5
204,205,1,3,0,0,8.05,1,18.0,0,0,54.0
205,206,0,3,0,1,10.4625,0,2.0,0,1,6.0
206,207,0,3,1,0,15.85,1,32.0,0,1,96.0
207,208,1,3,0,0,18.7875,1,26.0,0,0,78.0
208,209,1,3,0,0,7.75,0,16.0,0,0,48.0
209,210,1,1,0,0,31.0,1,40.0,0,0,40.0
210,211,0,3,0,0,7.05,1,24.0,0,0,72.0
211,212,1,2,0,0,21.0,0,35.0,0,0,70.0
212,213,0,3,0,0,7.25,1,22.0,0,0,66.0
213,214,0,2,0,0,13.0,1,30.0,0,0,60.0
214,215,0,3,1,0,7.75,1,25.0,1,1,75.0
215,216,1,1,1,0,113.275,0,31.0,0,1,31.0
216,217,1,3,0,0,7.925,0,27.0,0,0,81.0
217,218,0,2,1,0,27.0,1,42.0,0,1,84.0
218,219,1,1,0,0,76.2917,0,32.0,0,0,32.0
219,220,0,2,0,0,10.5,1,30.0,0,0,60.0
220,221,1,3,0,0,8.05,1,16.0,0,0,48.0
221,222,0,2,0,0,13.0,1,27.0,0,0,54.0
222,223,0,3,0,0,8.05,1,51.0,0,0,153.0
223,224,0,3,0,0,7.8958,1,25.0,1,0,75.0
224,225,1,1,1,0,90.0,1,38.0,0,1,38.0
225,226,0,3,0,0,9.35,1,22.0,0,0,66.0
226,227,1,2,0,0,10.5,1,19.0,0,0,38.0
227,228,0,3,0,0,7.25,1,20.5,0,0,61.5
228,229,0,2,0,0,13.0,1,18.0,0,0,36.0
229,230,0,3,3,1,25.4667,0,21.5,1,4,64.5
230,231,1,1,1,0,83.475,0,35.0,0,1,35.0
231,232,0,3,0,0,7.775,1,29.0,0,0,87.0
232,233,0,2,0,0,13.5,1,59.0,0,0,118.0
233,234,1,3,4,2,31.3875,0,5.0,0,6,15.0
234,235,0,2,0,0,10.5,1,24.0,0,0,48.0
235,236,0,3,0,0,7.55,0,21.5,1,0,64.5
236,237,0,2,1,0,26.0,1,44.0,0,1,88.0
237,238,1,2,0,2,26.25,0,8.0,0,2,16.0
238,239,0,2,0,0,10.5,1,19.0,0,0,38.0
239,240,0,2,0,0,12.275,1,33.0,0,0,66.0
240,241,0,3,1,0,14.4542,0,21.5,1,1,64.5
241,242,1,3,1,0,15.5,0,21.5,1,1,64.5
242,243,0,2,0,0,10.5,1,29.0,0,0,58.0
243,244,0,3,0,0,7.125,1,22.0,0,0,66.0
244,245,0,3,0,0,7.225,1,30.0,0,0,90.0
245,246,0,1,2,0,90.0,1,44.0,0,2,44.0
246,247,0,3,0,0,7.775,0,25.0,0,0,75.0
247,248,1,2,0,2,14.5,0,24.0,0,2,48.0
248,249,1,1,1,1,52.5542,1,37.0,0,2,37.0
249,250,0,2,1,0,26.0,1,54.0,0,1,108.0
250,251,0,3,0,0,7.25,1,25.0,1,0,75.0
251,252,0,3,1,1,10.4625,0,29.0,0,2,87.0
252,253,0,1,0,0,26.55,1,62.0,0,0,62.0
253,254,0,3,1,0,16.1,1,30.0,0,1,90.0
254,255,0,3,0,2,20.2125,0,41.0,0,2,123.0
255,256,1,3,0,2,15.2458,0,29.0,0,2,87.0
256,257,1,1,0,0,79.2,0,35.0,1,0,35.0
257,258,1,1,0,0,86.5,0,30.0,0,0,30.0
258,259,1,1,0,0,512.3292,0,35.0,0,0,35.0
259,260,1,2,0,1,26.0,0,50.0,0,1,100.0
260,261,0,3,0,0,7.75,1,25.0,1,0,75.0
261,262,1,3,4,2,31.3875,1,3.0,0,6,9.0
262,263,0,1,1,1,79.65,1,52.0,0,2,52.0
263,264,0,1,0,0,0.0,1,40.0,0,0,40.0
264,265,0,3,0,0,7.75,0,21.5,1,0,64.5
265,266,0,2,0,0,10.5,1,36.0,0,0,72.0
266,267,0,3,4,1,39.6875,1,16.0,0,5,48.0
267,268,1,3,1,0,7.775,1,25.0,0,1,75.0
268,269,1,1,0,1,153.4625,0,58.0,0,1,58.0
269,270,1,1,0,0,135.6333,0,35.0,0,0,35.0
270,271,0,1,0,0,31.0,1,40.0,1,0,40.0
271,272,1,3,0,0,0.0,1,25.0,0,0,75.0
272,273,1,2,0,1,19.5,0,41.0,0,1,82.0
273,274,0,1,0,1,29.7,1,37.0,0,1,37.0
274,275,1,3,0,0,7.75,0,21.5,1,0,64.5
275,276,1,1,1,0,77.9583,0,63.0,0,1,63.0
276,277,0,3,0,0,7.75,0,45.0,0,0,135.0
277,278,0,2,0,0,0.0,1,30.0,1,0,60.0
278,279,0,3,4,1,29.125,1,7.0,0,5,21.0
279,280,1,3,1,1,20.25,0,35.0,0,2,105.0
280,281,0,3,0,0,7.75,1,65.0,0,0,195.0
281,282,0,3,0,0,7.8542,1,28.0,0,0,84.0
282,283,0,3,0,0,9.5,1,16.0,0,0,48.0
283,284,1,3,0,0,8.05,1,19.0,0,0,57.0
284,285,0,1,0,0,26.0,1,40.0,1,0,40.0
285,286,0,3,0,0,8.6625,1,33.0,0,0,99.0
286,287,1,3,0,0,9.5,1,30.0,0,0,90.0
287,288,0,3,0,0,7.8958,1,22.0,0,0,66.0
288,289,1,2,0,0,13.0,1,42.0,0,0,84.0
289,290,1,3,0,0,7.75,0,22.0,0,0,66.0
290,291,1,1,0,0,78.85,0,26.0,0,0,26.0
291,292,1,1,1,0,91.0792,0,19.0,0,1,19.0
292,293,0,2,0,0,12.875,1,36.0,0,0,72.0
293,294,0,3,0,0,8.85,0,24.0,0,0,72.0
294,295,0,3,0,0,7.8958,1,24.0,0,0,72.0
295,296,0,1,0,0,27.7208,1,40.0,1,0,40.0
296,297,0,3,0,0,7.2292,1,23.5,0,0,70.5
297,298,0,1,1,2,151.55,0,2.0,0,3,2.0
298,299,1,1,0,0,30.5,1,40.0,1,0,40.0
